
*******   STEP   1      *** NEFF=10 CALCULATION                
*******   STEP  31      *** NEFF=10 CALCULATION                
    1   0.292E-02   0.306E-02   0.247E-01
    2   0.191E-02   0.185E-01   0.126E-01
    3   0.141E-02   0.135E-01   0.857E-02
    4   0.105E-02   0.975E-02   0.625E-02
    5   0.708E-03   0.594E-02   0.327E-02
    6   0.371E-03   0.275E-02   0.120E-02
    7   0.133E-03   0.113E-02   0.841E-03
    8   0.688E-04   0.101E-02   0.868E-03
    9   0.832E-04   0.886E-03   0.512E-03

*******   STEP  32      *** NEFF=10 CALCULATION                
    1   0.271E-02   0.336E-02   0.244E-01
    2   0.171E-02   0.163E-01   0.116E-01
    3   0.122E-02   0.118E-01   0.727E-02
    4   0.902E-03   0.885E-02   0.570E-02
    5   0.650E-03   0.588E-02   0.336E-02
    6   0.384E-03   0.323E-02   0.148E-02
    7   0.178E-03   0.158E-02   0.590E-03
    8   0.751E-04   0.102E-02   0.550E-03
    9   0.658E-04   0.841E-03   0.338E-03

*******   STEP  33      *** NEFF=10 CALCULATION                
    1   0.255E-02   0.316E-02   0.247E-01
    2   0.157E-02   0.146E-01   0.111E-01
    3   0.106E-02   0.103E-01   0.602E-02
    4   0.765E-03   0.799E-02   0.504E-02
    5   0.587E-03   0.573E-02   0.332E-02
    6   0.384E-03   0.357E-02   0.176E-02
    7   0.214E-03   0.205E-02   0.748E-03
    8   0.106E-03   0.125E-02   0.384E-03
    9   0.796E-04   0.954E-03   0.245E-03

*******   STEP  34      *** NEFF=10 CALCULATION                
    1   0.240E-02   0.294E-02   0.255E-01
    2   0.147E-02   0.133E-01   0.112E-01
    3   0.926E-03   0.918E-02   0.495E-02
    4   0.645E-03   0.727E-02   0.437E-02
    5   0.528E-03   0.558E-02   0.320E-02
    6   0.379E-03   0.384E-02   0.199E-02
    7   0.240E-03   0.245E-02   0.103E-02
    8   0.138E-03   0.155E-02   0.475E-03
    9   0.105E-03   0.115E-02   0.302E-03
   10   0.725E-04   0.816E-03   0.248E-03

*******   STEP  35      *** NEFF=10 CALCULATION                
    1   0.226E-02   0.286E-02   0.266E-01
    2   0.140E-02   0.123E-01   0.119E-01
    3   0.832E-03   0.831E-02   0.421E-02
    4   0.543E-03   0.667E-02   0.372E-02
    5   0.473E-03   0.541E-02   0.301E-02
    6   0.438E-03   0.417E-02   0.241E-02
    7   0.336E-03   0.289E-02   0.172E-02
    8   0.156E-03   0.158E-02   0.747E-03
    9   0.794E-04   0.100E-02   0.306E-03
   10   0.501E-04   0.785E-03   0.369E-03

*******   STEP  36      *** NEFF=10 CALCULATION                
    1   0.211E-02   0.285E-02   0.284E-01
    2   0.139E-02   0.119E-01   0.133E-01
    3   0.793E-03   0.795E-02   0.408E-02
    4   0.472E-03   0.632E-02   0.319E-02
    5   0.430E-03   0.531E-02   0.279E-02
    6   0.358E-03   0.415E-02   0.220E-02
    7   0.324E-03   0.318E-02   0.167E-02
    8   0.246E-03   0.216E-02   0.104E-02
    9   0.162E-03   0.133E-02   0.492E-03
   10   0.924E-04   0.802E-03   0.289E-03

*******   STEP  37      *** NEFF=10 CALCULATION                
    1   0.199E-02   0.290E-02   0.309E-01
    2   0.143E-02   0.119E-01   0.156E-01
    3   0.806E-03   0.792E-02   0.478E-02
    4   0.476E-03   0.597E-02   0.226E-02
    5   0.374E-03   0.503E-02   0.256E-02
    6   0.338E-03   0.408E-02   0.213E-02
    7   0.311E-03   0.318E-02   0.162E-02
    8   0.240E-03   0.219E-02   0.999E-03
    9   0.101E-03   0.119E-02   0.350E-03
   10   0.566E-04   0.840E-03   0.349E-03

*******   STEP  38      *** NEFF=10 CALCULATION                
    1   0.186E-02   0.261E-02   0.338E-01
    2   0.154E-02   0.130E-01   0.182E-01
    3   0.890E-03   0.880E-02   0.601E-02
    4   0.474E-03   0.608E-02   0.194E-02
    5   0.355E-03   0.495E-02   0.233E-02
    6   0.325E-03   0.407E-02   0.212E-02
    7   0.308E-03   0.320E-02   0.168E-02
    8   0.242E-03   0.225E-02   0.115E-02
    9   0.167E-03   0.141E-02   0.544E-03
   10   0.553E-04   0.741E-03   0.338E-03

*******   STEP  39      *** NEFF=10 CALCULATION                
    1   0.173E-02   0.258E-02   0.377E-01
    2   0.191E-02   0.159E-01   0.205E-01
    3   0.982E-03   0.103E-01   0.740E-02
    4   0.476E-03   0.615E-02   0.184E-02
    5   0.331E-03   0.459E-02   0.201E-02
    6   0.295E-03   0.374E-02   0.202E-02
    7   0.286E-03   0.295E-02   0.168E-02
    8   0.229E-03   0.210E-02   0.126E-02
    9   0.163E-03   0.131E-02   0.655E-03
   10   0.528E-04   0.599E-03   0.234E-03

*******   STEP  40      *** NEFF=10 CALCULATION                
    1   0.162E-02   0.237E-02   0.425E-01
    2   0.241E-02   0.218E-01   0.265E-01
    3   0.130E-02   0.147E-01   0.110E-01
    4   0.592E-03   0.771E-02   0.295E-02
    5   0.378E-03   0.473E-02   0.163E-02
    6   0.273E-03   0.351E-02   0.190E-02
    7   0.240E-03   0.277E-02   0.167E-02
    8   0.224E-03   0.211E-02   0.130E-02
    9   0.171E-03   0.140E-02   0.811E-03
   10   0.112E-03   0.783E-03   0.328E-03

*******   STEP  41      *** NEFF=10 CALCULATION                
    1   0.154E-02   0.215E-02   0.488E-01
    2   0.336E-02   0.318E-01   0.353E-01
    3   0.183E-02   0.215E-01   0.169E-01
    4   0.852E-03   0.110E-01   0.579E-02
